WDPA_PID,WDPAID,NAME,ISO3,IUCN_CAT,MARINE,GIS_M_AREA
62908,62908,Jason East Cay,FLK,Ia,1,0.129202772312708
62909,62909,The Fridays,FLK,Ia,1,0.143177488655825
62910,62910,White Rock S3D7,FLK,Ia,1,0.018870634631439
62912,62912,North Fur,FLK,Ia,1,0.213982021099348
62915,62915,Clump S23D2,FLK,Ia,1,0.02263204911223
62916,62916,Pyramid Rock,FLK,Ia,2,0.012078536696977
62917,62917,Tussac S23D10,FLK,Ia,1,0.030237600648025
62919,62919,Big Arch,FLK,Ia,1,0.329952440547383
62920,62920,Albermarle Rock,FLK,Ia,1,0.063885076553931
62921,62921,South Fur,FLK,Ia,1,0.067227458887368
63174_A,63174,Ningaloo,AUS,Ia,2,870.02661293584
63220,63220,Austin Bay,AUS,Ia,1,8.03078316610322
63268,63268,Lacepede Islands,AUS,Ia,1,0.302116854433908
63529,63529,Doubtful Islands,AUS,Ia,1,0.124992762655148
63708,63708,Beagle Islands,AUS,Ia,2,0.309067393456543
63710,63710,Carnac Island,AUS,Ia,1,0.066038983367496
63798,63798,Cervantes Islands,AUS,Ia,1,0.118163552748414
63802,63802,Essex Rocks,AUS,Ia,2,0.116831285701091
63883,63883,Chatham Island,AUS,Ia,1,0.183202879671302
63886,63886,Glasse Island,AUS,Ia,1,0.00783560972324
63905,63905,Boodalan,AUS,Ia,2,0.013417706230909
63906,63906,Milyu,AUS,Ia,1,0.010457364640895
63907,63907,Bedout Island,AUS,Ia,1,0.052163687475142
63908,63908,Great Sandy Island,AUS,Ia,1,30.8913013518089
64019,64019,Penguin Islet,AUS,Ia,1,0.036951560512973
64043_A,64043,Rowley Shoals,AUS,Ia,2,211.601861941463
64104,64104,Winninowie,AUS,Ia,1,39.37845478149
64413,64413,Taklong Island National Marine Reserve,PHL,Ib,1,10.1245226564007
64491,64491,Målselvutløpet,NOR,Ia,1,9.09037773968678
65208_B,65208,George C. Reifel Migratory Bird Sanctuary,CAN,Ia,1,1.02777625224126
65755_B,65755,Sable River Migratory Bird Sanctuary,CAN,Ia,2,2.42799658593558
66634,66634,Pointe-Platon Ecological Reserve,CAN,Ia,1,0.303878354962799
67095_B,67095,Île aux Canes Migratory Bird Sanctuary,CAN,Ia,2,1.42695175164487
67152_B,67152,Shepherd Island Migratory Bird Sanctuary,CAN,Ia,2,0.144925781936874
67152_A,67152,Shepherd Island Migratory Bird Sanctuary,CAN,Ia,1,0.003523678979793
67348,67348,Rocher Percé Cliff Inhabited By A Colony Of Birds,CAN,Ia,1,0.035587547347231
68835,68835,Tonga Island,NZL,Ia,2,17.8118310485017
70931,70931,Comerong Island,AUS,Ia,1,1.54248754185777
71003,71003,Piopiotahi,NZL,Ia,2,7.08864444603346
71004,71004,Te Awaatu Channel,NZL,Ia,2,0.841241294553174
71005,71005,Westhaven (Te Tai Tapu),NZL,Ia,1,2.67511458378089
81023,81023,K.Thanburudhoo Sarahahdhu Zone 1: Thanburudhoo Rah,MDV,Ib,2,3.12126190065867
88883,88883,Desecheo National Wildlife Refuge,PRI,Ia,1,0.196845854983436
97513,97513,Manglares Cayapas Mataje,ECU,Ib,1,182.096642068645
99840_B,99840,KHUTZEYMATEEN PARK [A.K.A. KHUTZEYMATEEN/K'TZIM-A-DEEN GRIZZLY SANCTUARY],CAN,Ib,1,3.64145953648067
101396,101396,Sagay Marine Reserve,PHL,Ib,2,320.518850666433
101409,101409,Alto Golfo de California y Delta del Río Colorado,MEX,Ia,1,5273.73814272602
101417_A,101417,HUDSON ROCKS ECOLOGICAL RESERVE,CAN,Ia,1,0.008229220132065
101417_B,101417,HUDSON ROCKS ECOLOGICAL RESERVE,CAN,Ia,2,0.476879860942427
101486,101486,Pulau Anak Krakatau,IDN,Ib,1,93.0545683214113
101598_B,101598,MUQQIWN/BROOKS PENINSULA PARK,CAN,Ib,1,33.1242395368954
101670_B,101670,TAHSISH-KWOIS PARK,CAN,Ib,1,0.066847178117188
101721_B,101721,HUCHSDUWACHSDU NUYEM JEES/KITLOPE HERITAGE CONSERVANCY,CAN,Ib,1,4.33586101621164
101768,101768,Wazihwei,TWN,Ia,1,0.021971715957569
101909,101909,Gulf Islands Wildlife Sanctuary,SAU,Ia,2,50.0479922218164
102300,102300,Cabo Blanco,CRI,Ia,1,16.6838601247352
103338,103338,2002573 Sladan,SWE,Ia,1,4.2452834701418
106876,106876,2001110 Tyresta,SWE,Ib,1,2.99826843585078
106878,106878,2002409 Hållnäskusten,SWE,Ia,1,10.0088472904535
107537,107537,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",MEX,Ia,2,3866.72744484886
107706,107706,Islas Marietas,MEX,Ia,2,12.9724937685962
108125,108125,Zona marina del Archipiélago de Espíritu Santo,MEX,Ia,2,487.388498439446
116085,116085,Estação Ecológica De Tamoios,BRA,Ia,2,83.9585435304781
125839,125839,Dunøyane,SJM,Ia,1,10.4860533796359
125846,125846,Guissezholmen,SJM,Ia,2,0.404626666268683
125848,125848,Gåsøyane,SJM,Ia,1,1.93821920595186
125850,125850,Isøyane,SJM,Ia,1,1.81458983733784
